Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-08-31,204.13999938964844,5628700,0.23,0.25,0.25,1.0,9.807531250000002,1.765911177502642,-6.882533111475193,-1.8173835235424787,18.77143501459317
2020-09-01,208.92999267578125,6234600,0.23,0.25,0.25,1.0,9.23585125,1.765911177502642,-11.932223017146109,-7.954815344764087,13.674440399064125
2020-09-02,210.82000732421875,7219500,0.23,0.25,0.25,1.0,8.70037625,1.765911177502642,-11.317711688368087,-7.48506474236952,12.721748948705514
2020-09-03,204.9900054931641,16006900,0.23,0.25,0.25,1.0,8.20110625,1.765911177502642,-9.254110304092746,-9.20044885358107,19.469236223153917
2020-09-04,191.83999633789062,17034100,0.23,0.25,0.25,1.0,7.73804125,1.765911177502642,-5.697452504393344,-2.1267733053270557,26.17806619024839
2020-09-08,185.9499969482422,9282400,0.23,0.25,0.25,1.0,7.311181250000001,1.765911177502642,-5.463836423152692,-3.3019626192074965,28.954018403601584
2020-09-09,194.6000061035156,8542000,0.23,0.25,0.25,1.0,6.92052625,1.765911177502642,-9.5220956824842,-0.1593077120551968,27.055494473354614
2020-09-10,190.08999633789062,6580700,0.23,0.25,0.25,1.0,6.56607625,1.765911177502642,-3.619332819489381,7.612184491277615,28.497027309452182
2020-09-11,184.0,8110400,0.23,0.25,0.25,1.0,6.247831249999999,1.765911177502642,2.054347162661345,10.1793455040973,35.13043445089589
2020-09-14,186.9600067138672,7053100,0.23,0.25,0.25,1.0,5.96579125,1.765911177502642,-2.8615778302273545,-1.198120139454358,34.78818514682299
2020-09-15,186.0200042724609,7763400,0.23,0.25,0.25,1.0,5.71995625,1.765911177502642,-2.058919332914813,-1.4299557042334263,33.18460074709171
2020-09-16,180.91000366210938,8170100,0.23,0.25,0.25,1.0,5.510326249999999,1.765911177502642,3.504502907275383,6.318054526785242,33.21540828119288
2020-09-17,175.7899932861328,11840100,0.23,0.25,0.25,1.0,5.3369012499999995,1.765911177502642,9.232613690308616,7.571541797443566,30.80380637317258
2020-09-18,176.07000732421875,13557200,0.23,0.25,0.25,1.0,5.199681249999999,1.765911177502642,10.467423132347523,7.127839649520181,35.05423035978051
2020-09-21,183.2100067138672,13765600,0.23,0.25,0.25,1.0,5.09866625,1.765911177502642,7.54325176517973,4.765021236625657,27.89148461990574
2020-09-22,187.77999877929688,8939300,0.23,0.25,0.25,1.0,5.0338562499999995,1.765911177502642,4.878050762411275,2.407074396551374,27.89148461990574
