,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-10-03,291.3193359375,285.9666748046875,287.43332926432294,288.2033386230469,13614000.0,288.2033386230469,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,4.766132504684142,-8.827924476860572,-19.947301860398245
2020-10-04,290.65966796875,285.42333984375,288.2466634114583,288.2366638183594,15745200.0,288.2366638183594,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,5.517282093894995,-9.84101101712319,-20.655954618918912
2020-10-05,290.0,284.8800048828125,289.05999755859375,288.2699890136719,17876400.0,288.2699890136719,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,6.268431683105846,-10.854097557385808,-21.36460737743958
2020-10-06,296.8399963378906,286.9100036621094,287.4100036621094,292.3900146484375,15860400.0,292.3900146484375,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,5.605521156584737,-11.867184097648426,-22.073260135960247
2020-10-07,299.510009765625,292.8699951171875,297.989990234375,296.5,16669300.0,296.5,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,1.5312001837847806,-12.880270637911046,-18.920744048403247
2020-10-08,302.29998779296875,295.4410095214844,298.1099853515625,300.5400085449219,15105800.0,300.5400085449219,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-0.3593588404661003,-14.553809645418733,-24.266322573045855
2020-10-09,302.6099853515625,297.739990234375,298.54998779296875,299.739990234375,11442200.0,299.739990234375,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,2.525524644976318,-14.649359389444792,-24.301060489437866
2020-10-10,304.9533284505208,298.9216613769531,300.34999593098956,301.9399922688802,12554833.333333334,301.9399922688802,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,1.5694322854040377,-13.77436542249264,-24.8170580770943
2020-10-11,307.2966715494792,300.10333251953125,302.15000406901044,304.13999430338544,13667466.666666666,304.13999430338544,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,0.6133399258317571,-12.899371455540487,-25.33305566475073
2020-10-12,309.6400146484375,301.2850036621094,303.95001220703125,306.3399963378906,14780100.0,306.3399963378906,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-0.3427524337405233,-12.024377488588335,-25.849053252407163
2020-10-13,310.010009765625,303.0299987792969,306.3599853515625,308.7799987792969,10898500.0,308.7799987792969,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,0.33357043311379614,-11.149383521636185,-26.365050840063596
2020-10-14,309.9599914550781,300.79998779296875,309.0,301.0400085449219,15157800.0,301.0400085449219,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,2.302017166846825,-10.274389554684033,-25.059792818252234
2020-10-15,299.8630065917969,292.6099853515625,293.79998779296875,299.4599914550781,9709900.0,299.4599914550781,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,2.2774352230093537,-6.511721283784643,-21.425228823244964
2020-10-16,310.0,302.95001220703125,303.989990234375,307.30999755859375,12338000.0,307.30999755859375,0.13,0.0,0.0,0.0,0.0,0.0,0.8493104324219007,-9.628712561571904,-20.933260337158117
2020-10-17,311.26999918619794,303.1033426920573,305.9566650390625,306.6366678873698,12927766.666666666,306.6366678873698,0.13,0.4026,0.10065,0.0,0.0,0.0,0.7387190503372962,-10.600006493867035,-20.404107837930066
2020-10-18,312.5399983723958,303.2566731770833,307.92333984375,305.9633382161458,13517533.333333334,305.9633382161458,0.13,0.8052,0.2013,0.0,0.0,0.0,0.6281276682526917,-11.571300426162164,-19.874955338702012
2020-10-19,313.80999755859375,303.4100036621094,309.8900146484375,305.2900085449219,14107300.0,305.2900085449219,0.13,1.2078,0.30195,0.0,0.0,0.0,0.5175362861680872,-12.542594358457295,-19.34580283947396
2020-10-20,311.79998779296875,307.05999755859375,307.6000061035156,309.80999755859375,8806100.0,309.80999755859375,0.13,0.256,0.128,0.0,0.0,0.0,2.36597177224968,-13.513888290752426,-18.816650340245907
